repetition_no,start_time,provider,kind,size,execution_duration,end_time
9,14-10-2023 22:25:49 UTC,Messenger,audio,2,61,14-10-2023 22:28:50 UTC
9,14-10-2023 22:28:50 UTC,Messenger,file,2,100,14-10-2023 22:32:31 UTC
9,14-10-2023 22:32:31 UTC,Messenger,text,2,101,14-10-2023 22:36:13 UTC
9,14-10-2023 22:36:13 UTC,Messenger,image,2,78,14-10-2023 22:39:32 UTC
9,14-10-2023 22:39:32 UTC,Messenger,video,2,69,14-10-2023 22:42:41 UTC
