repetition_no,start_time,provider,kind,size,execution_duration,end_time
3,15-10-2023 00:59:53 UTC,Telegram,video,0,82,15-10-2023 01:03:16 UTC
3,15-10-2023 01:03:16 UTC,Telegram,audio,0,83,15-10-2023 01:06:39 UTC
3,15-10-2023 01:06:39 UTC,Telegram,text,0,82,15-10-2023 01:10:02 UTC
3,15-10-2023 01:10:02 UTC,Telegram,image,0,86,15-10-2023 01:13:28 UTC
3,15-10-2023 01:13:28 UTC,Telegram,file,0,83,15-10-2023 01:16:52 UTC
