Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697447996800,-245117,4088
1697447996902,-245117,4088
1697447997004,-245117,4088
1697447997109,-245117,4088
1697447997213,-245117,4088
1697447997316,-245117,4088
1697447997421,-245117,4088
1697447997525,-245117,4088
1697447997630,-245117,4088
1697447997735,-269531,4088
1697447997838,-269531,4088
1697447997942,-269531,4088
1697447998046,-269531,4088
1697447998148,-269531,4088
1697447998253,-269531,4088
1697447998358,-269531,4088
1697447998464,-269531,4088
1697447998571,-269531,4088
1697447998677,-269531,4088
1697447998781,-269531,4088
1697447998886,-269531,4088
1697447998991,-269531,4088
1697447999096,-269531,4088
1697447999204,-145507,4088
1697447999307,-145507,4088
1697447999411,-145507,4088
1697447999518,-145507,4088
1697447999623,-145507,4088
1697447999728,-145507,4088
1697447999833,-145507,4088
1697447999940,-145507,4088
1697448000047,-145507,4088
1697448000152,-145507,4088
1697448000257,-145507,4088
1697448000362,-145507,4088
1697448000467,-145507,4088
1697448000574,-145507,4088
1697448000681,-149413,4088
1697448000788,-149413,4088
1697448000899,-149413,4088
1697448001010,-149413,4088
1697448001118,-149413,4088
1697448001226,-149413,4088
1697448001336,-149413,4088
1697448001446,-149413,4088
1697448001552,-149413,4088
1697448001660,-149413,4088
1697448001765,-149413,4088
1697448001872,-149413,4088
1697448001982,-149413,4088
1697448002092,-149413,4088
1697448002199,-99121,4088
1697448002303,-99121,4088
1697448002408,-99121,4088
1697448002511,-99121,4088
1697448002613,-99121,4088
1697448002716,-99121,4088
1697448002818,-99121,4088
1697448002920,-99121,4088
1697448003023,-99121,4088
1697448003127,-99121,4088
1697448003231,-99121,4088
1697448003338,-99121,4088
1697448003443,-99121,4088
1697448003550,-99121,4088
1697448003654,-203613,4088
1697448003759,-203613,4088
1697448003861,-203613,4088
1697448003966,-203613,4088
1697448004072,-203613,4088
1697448004177,-203613,4088
1697448004283,-203613,4088
1697448004389,-203613,4088
1697448004495,-203613,4088
1697448004600,-203613,4088
1697448004704,-203613,4088
1697448004807,-203613,4088
1697448004910,-203613,4088
1697448005019,-203613,4088
1697448005066,-290527,4088
1697448005125,-290527,4088
1697448005177,-290527,4088
1697448005228,-290527,4088
1697448005279,-290527,4088
1697448005330,-290527,4088
1697448005383,-290527,4088
1697448005434,-290527,4088
1697448005485,-290527,4088
1697448005538,-290527,4088
1697448005590,-290527,4088
1697448005641,-290527,4088
1697448005696,-290527,4088
1697448005745,-290527,4088
1697448005799,-290527,4088
1697448005848,-290527,4088
1697448005902,-290527,4088
1697448005950,-290527,4088
1697448006004,-290527,4088
1697448006053,-290527,4088
1697448006117,-290527,4088
1697448006157,-290527,4088
1697448006222,-290527,4088
1697448006259,-290527,4088
1697448006326,-290527,4088
1697448006363,-290527,4088
1697448006436,-290527,4088
