Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697395497437,-388671,3699
1697395497543,-388671,3699
1697395497646,-388671,3699
1697395497750,-388671,3699
1697395497853,-388671,3699
1697395497956,-388671,3699
1697395498060,-388671,3699
1697395498163,-388671,3699
1697395498266,-388671,3699
1697395498370,-388671,3699
1697395498473,-388671,3699
1697395498578,-344238,3699
1697395498688,-344238,3699
1697395498796,-344238,3699
1697395498900,-344238,3699
1697395499007,-344238,3699
1697395499113,-344238,3699
1697395499217,-344238,3699
1697395499321,-344238,3699
1697395499425,-344238,3699
1697395499533,-344238,3699
1697395499641,-344238,3699
1697395499749,-344238,3699
1697395499862,-344238,3699
1697395499974,-344238,3699
1697395500080,-123535,3699
1697395500195,-123535,3699
1697395500311,-123535,3699
1697395500416,-123535,3699
1697395500522,-123535,3699
1697395500626,-123535,3699
1697395500730,-123535,3699
1697395500834,-123535,3699
1697395500941,-123535,3699
1697395501044,-123535,3699
1697395501150,-123535,3699
1697395501258,-123535,3699
1697395501365,-123535,3699
1697395501469,-274902,3699
1697395501574,-274902,3699
1697395501677,-274902,3699
1697395501785,-274902,3699
1697395501889,-274902,3699
1697395501996,-274902,3699
1697395502101,-274902,3699
1697395502204,-274902,3699
1697395502308,-274902,3699
1697395502416,-274902,3699
1697395502523,-274902,3699
1697395502628,-274902,3699
1697395502732,-274902,3699
1697395502835,-274902,3699
1697395502940,-461913,3699
1697395503043,-461913,3699
1697395503146,-461913,3699
1697395503252,-461913,3699
1697395503358,-461913,3699
1697395503464,-461913,3699
1697395503571,-461913,3699
1697395503677,-461913,3699
1697395503782,-461913,3699
1697395503886,-461913,3699
1697395503989,-461913,3699
1697395504093,-461913,3699
1697395504197,-461913,3699
1697395504302,-461913,3699
1697395504408,-437988,3699
1697395504514,-437988,3699
1697395504618,-437988,3699
1697395504722,-437988,3699
1697395504825,-437988,3699
1697395504928,-437988,3699
1697395505033,-437988,3699
1697395505137,-437988,3699
1697395505245,-437988,3699
1697395505350,-437988,3699
1697395505454,-437988,3699
1697395505557,-437988,3699
1697395505661,-437988,3699
1697395505768,-437988,3699
1697395505872,-437988,3699
1697395505975,-214843,3699
1697395506080,-214843,3699
1697395506184,-214843,3699
1697395506287,-214843,3699
1697395506392,-214843,3699
1697395506496,-214843,3699
1697395506599,-214843,3699
1697395506702,-214843,3699
1697395506806,-214843,3699
1697395506911,-214843,3699
1697395507015,-214843,3699
1697395507118,-214843,3699
1697395507221,-214843,3699
1697395507327,-214843,3699
1697395507437,-376952,3699
1697395507541,-376952,3699
1697395507645,-376952,3699
1697395507748,-376952,3699
1697395507853,-376952,3699
1697395507957,-376952,3699
1697395508064,-376952,3699
1697395508173,-376952,3699
1697395508279,-376952,3699
1697395508385,-376952,3699
1697395508495,-376952,3699
1697395508603,-376952,3699
1697395508706,-376952,3699
1697395508810,-376952,3699
1697395508920,-474609,3699
1697395509026,-474609,3699
1697395509133,-474609,3699
1697395509236,-474609,3699
1697395509346,-474609,3699
1697395509456,-474609,3699
1697395509560,-474609,3699
1697395509663,-474609,3699
1697395509766,-474609,3699
1697395509870,-474609,3699
1697395509974,-474609,3699
1697395510078,-474609,3699
1697395510182,-474609,3699
1697395510290,-510253,3699
1697395510394,-510253,3699
1697395510503,-510253,3699
1697395510606,-510253,3699
1697395510715,-510253,3699
1697395510827,-510253,3699
1697395510932,-510253,3699
1697395511037,-510253,3699
1697395511141,-510253,3699
1697395511246,-510253,3699
1697395511354,-510253,3699
1697395511468,-510253,3699
1697395511575,-510253,3699
1697395511682,-510253,3699
1697395511787,-239257,3699
1697395511892,-239257,3699
1697395511996,-239257,3699
1697395512100,-239257,3699
1697395512207,-239257,3699
1697395512312,-239257,3699
1697395512423,-239257,3699
1697395512529,-239257,3699
1697395512633,-239257,3699
1697395512737,-239257,3699
1697395512840,-239257,3699
1697395512944,-239257,3699
1697395513047,-239257,3699
1697395513156,-239257,3699
1697395513260,-475097,3699
1697395513363,-475097,3699
1697395513466,-475097,3699
1697395513570,-475097,3699
1697395513673,-475097,3699
1697395513785,-475097,3699
1697395513891,-475097,3699
1697395513994,-475097,3699
1697395514109,-475097,3699
1697395514214,-475097,3699
1697395514318,-475097,3699
1697395514421,-475097,3699
1697395514527,-475097,3699
1697395514630,-475097,3699
1697395514734,-455077,3699
1697395514843,-455077,3699
1697395514946,-455077,3699
1697395515053,-455077,3699
1697395515158,-455077,3699
1697395515263,-455077,3699
1697395515367,-455077,3699
1697395515473,-455077,3699
1697395515576,-455077,3699
1697395515685,-455077,3699
1697395515792,-455077,3699
1697395515896,-455077,3699
1697395515999,-455077,3699
1697395516103,-455077,3699
1697395516206,-508788,3699
1697395516310,-508788,3699
1697395516415,-508788,3699
1697395516518,-508788,3699
1697395516626,-508788,3699
1697395516730,-508788,3699
1697395516842,-508788,3699
1697395516947,-508788,3699
1697395517050,-508788,3699
1697395517154,-508788,3699
1697395517260,-508788,3699
1697395517366,-508788,3699
1697395517473,-508788,3699
1697395517578,-508788,3699
1697395517691,-303710,3699
1697395517794,-303710,3699
1697395517897,-303710,3699
1697395518001,-303710,3699
1697395518104,-303710,3699
1697395518208,-303710,3699
1697395518313,-303710,3699
1697395518419,-303710,3699
1697395518523,-303710,3699
1697395518626,-303710,3699
1697395518731,-303710,3699
1697395518838,-303710,3699
1697395518942,-303710,3699
1697395519048,-303710,3699
1697395519154,-354003,3699
1697395519261,-354003,3699
1697395519365,-354003,3699
1697395519470,-354003,3699
1697395519575,-354003,3699
1697395519680,-354003,3699
1697395519788,-354003,3699
1697395519896,-354003,3699
1697395520007,-354003,3699
1697395520111,-354003,3699
1697395520216,-354003,3699
1697395520320,-354003,3699
1697395520423,-354003,3699
1697395520527,-354003,3699
1697395520631,-444335,3699
1697395520736,-444335,3699
1697395520840,-444335,3699
1697395520944,-444335,3699
1697395521048,-444335,3699
1697395521153,-444335,3699
1697395521258,-444335,3699
1697395521362,-444335,3699
1697395521465,-444335,3699
1697395521571,-444335,3699
1697395521678,-444335,3699
1697395521789,-444335,3699
1697395521894,-444335,3699
1697395522002,-444335,3699
1697395522105,-545898,3699
1697395522210,-545898,3699
1697395522316,-545898,3699
1697395522420,-545898,3699
1697395522523,-545898,3699
1697395522627,-545898,3699
1697395522731,-545898,3699
1697395522835,-545898,3699
1697395522940,-545898,3699
1697395523043,-545898,3699
1697395523149,-545898,3699
1697395523255,-545898,3699
1697395523358,-545898,3699
1697395523463,-545898,3699
1697395523570,-425781,3699
1697395523673,-425781,3699
1697395523779,-425781,3699
1697395523887,-425781,3699
1697395523997,-425781,3699
1697395524102,-425781,3699
1697395524205,-425781,3699
1697395524309,-425781,3699
1697395524416,-425781,3699
1697395524520,-425781,3699
1697395524626,-425781,3699
1697395524729,-425781,3699
