repetition_no,start_time,provider,kind,size,execution_duration,end_time
7,13-10-2023 10:57:02 UTC,Telegram,file,0,94,13-10-2023 11:00:37 UTC
7,13-10-2023 11:00:37 UTC,Telegram,audio,0,119,13-10-2023 11:04:36 UTC
7,13-10-2023 11:04:36 UTC,Telegram,text,0,80,13-10-2023 11:07:57 UTC
7,13-10-2023 11:07:57 UTC,Telegram,video,0,80,13-10-2023 11:11:18 UTC
7,13-10-2023 11:11:18 UTC,Telegram,image,0,81,13-10-2023 11:14:39 UTC
