Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1697318768432,-447265,4056
1697318768538,-447265,4056
1697318768641,-447265,4056
1697318768743,-447265,4056
1697318768847,-447265,4056
1697318768950,-447265,4056
1697318769054,-447265,4056
1697318769157,-447265,4056
1697318769261,-447265,4056
1697318769364,-447265,4056
1697318769467,-447265,4056
1697318769572,-447265,4056
1697318769677,-447265,4056
1697318769782,-447265,4056
1697318769888,-649413,4056
1697318769991,-649413,4056
1697318770094,-649413,4056
1697318770198,-649413,4056
1697318770301,-649413,4056
1697318770404,-649413,4056
1697318770507,-649413,4056
1697318770610,-649413,4056
1697318770713,-649413,4056
1697318770816,-649413,4056
1697318770919,-649413,4056
1697318771022,-649413,4056
1697318771125,-649413,4056
1697318771229,-649413,4056
1697318771332,-276367,4056
1697318771435,-276367,4056
1697318771538,-276367,4056
1697318771641,-276367,4056
1697318771744,-276367,4056
1697318771847,-276367,4056
1697318771949,-276367,4056
1697318772053,-276367,4056
1697318772157,-276367,4056
1697318772265,-276367,4056
1697318772368,-276367,4056
1697318772472,-276367,4056
1697318772576,-276367,4056
1697318772680,-276367,4056
1697318772789,-352538,4056
1697318772896,-352538,4056
1697318773001,-352538,4056
1697318773104,-352538,4056
1697318773207,-352538,4056
1697318773315,-352538,4056
1697318773423,-352538,4056
1697318773527,-352538,4056
1697318773631,-352538,4056
1697318773734,-352538,4056
1697318773839,-352538,4056
1697318773945,-352538,4056
1697318774049,-352538,4056
1697318774153,-352538,4056
1697318774259,-396484,4056
1697318774363,-396484,4056
1697318774466,-396484,4056
1697318774570,-396484,4056
1697318774673,-396484,4056
1697318774778,-396484,4056
1697318774882,-396484,4056
1697318774985,-396484,4056
1697318775089,-396484,4056
1697318775193,-396484,4056
1697318775296,-396484,4056
1697318775400,-396484,4056
1697318775504,-396484,4056
1697318775607,-396484,4056
1697318775710,-293945,4056
1697318775814,-293945,4056
1697318775917,-293945,4056
1697318776021,-293945,4056
1697318776124,-293945,4056
1697318776231,-293945,4056
1697318776342,-293945,4056
1697318776445,-293945,4056
1697318776550,-293945,4056
1697318776658,-293945,4056
1697318776762,-293945,4056
1697318776869,-293945,4056
1697318776980,-293945,4056
1697318777083,-293945,4056
1697318777186,-421386,4056
1697318777291,-421386,4056
1697318777396,-421386,4056
1697318777499,-421386,4056
1697318777604,-421386,4056
1697318777707,-421386,4056
1697318777812,-421386,4056
1697318777918,-421386,4056
1697318778025,-421386,4056
1697318778129,-421386,4056
1697318778235,-421386,4056
1697318778349,-421386,4056
1697318778452,-421386,4056
1697318778556,-421386,4056
1697318778663,-499511,4056
1697318778767,-499511,4056
1697318778873,-499511,4056
1697318778976,-499511,4056
1697318779080,-499511,4056
1697318779187,-499511,4056
1697318779297,-499511,4056
